,Compound,Date,Negative,Neutral,Positive,Tweets Ago,target
336,0.2732,Tue Jul 31 20:10:00 +0000 2018,0.861,0.0,0.139,37,FoxNews
337,0.0,Tue Jul 31 20:03:01 +0000 2018,1.0,0.0,0.0,38,FoxNews
338,0.0,Tue Jul 31 20:02:12 +0000 2018,1.0,0.0,0.0,39,FoxNews
339,0.0,Tue Jul 31 19:57:20 +0000 2018,1.0,0.0,0.0,40,FoxNews
340,-0.8545,Tue Jul 31 19:56:49 +0000 2018,0.599,0.401,0.0,41,FoxNews
341,0.1725,Tue Jul 31 19:48:32 +0000 2018,0.711,0.124,0.165,42,FoxNews
342,0.0,Tue Jul 31 19:33:39 +0000 2018,1.0,0.0,0.0,43,FoxNews
343,0.0,Tue Jul 31 19:28:44 +0000 2018,1.0,0.0,0.0,44,FoxNews
344,0.0,Tue Jul 31 19:27:34 +0000 2018,1.0,0.0,0.0,45,FoxNews
345,0.4927,Tue Jul 31 19:18:42 +0000 2018,0.856,0.0,0.144,46,FoxNews
346,0.1531,Tue Jul 31 19:16:48 +0000 2018,0.78,0.096,0.124,47,FoxNews
347,0.0,Tue Jul 31 19:12:22 +0000 2018,1.0,0.0,0.0,48,FoxNews
348,0.0772,Tue Jul 31 19:04:28 +0000 2018,0.933,0.0,0.067,49,FoxNews
349,0.3182,Tue Jul 31 18:40:21 +0000 2018,0.887,0.0,0.113,50,FoxNews
350,-0.7506,Tue Jul 31 18:37:25 +0000 2018,0.654,0.346,0.0,51,FoxNews
351,-0.296,Tue Jul 31 18:35:33 +0000 2018,0.885,0.115,0.0,52,FoxNews
352,-0.5688,Tue Jul 31 18:33:14 +0000 2018,0.83,0.17,0.0,53,FoxNews
353,0.0,Tue Jul 31 18:28:03 +0000 2018,1.0,0.0,0.0,54,FoxNews
354,-0.4215,Tue Jul 31 18:17:00 +0000 2018,0.648,0.352,0.0,55,FoxNews
355,-0.296,Tue Jul 31 18:10:00 +0000 2018,0.611,0.228,0.161,56,FoxNews
356,0.0,Tue Jul 31 18:01:51 +0000 2018,1.0,0.0,0.0,57,FoxNews
357,0.0,Tue Jul 31 17:33:43 +0000 2018,1.0,0.0,0.0,58,FoxNews
358,0.0,Tue Jul 31 17:30:39 +0000 2018,1.0,0.0,0.0,59,FoxNews
359,0.0,Tue Jul 31 17:16:36 +0000 2018,1.0,0.0,0.0,60,FoxNews
360,0.0,Tue Jul 31 17:09:02 +0000 2018,1.0,0.0,0.0,61,FoxNews
361,0.0,Tue Jul 31 16:55:13 +0000 2018,1.0,0.0,0.0,62,FoxNews
362,0.0,Tue Jul 31 16:51:40 +0000 2018,1.0,0.0,0.0,63,FoxNews
363,-0.7783,Tue Jul 31 16:46:49 +0000 2018,0.618,0.382,0.0,64,FoxNews
364,0.6486,Tue Jul 31 16:39:05 +0000 2018,0.725,0.0,0.275,65,FoxNews
365,-0.128,Tue Jul 31 16:36:59 +0000 2018,0.889,0.111,0.0,66,FoxNews
366,0.0,Tue Jul 31 16:30:29 +0000 2018,1.0,0.0,0.0,67,FoxNews
367,0.0,Tue Jul 31 16:27:11 +0000 2018,1.0,0.0,0.0,68,FoxNews
368,0.3818,Tue Jul 31 16:17:42 +0000 2018,0.852,0.0,0.148,69,FoxNews
369,0.0,Tue Jul 31 16:11:07 +0000 2018,1.0,0.0,0.0,70,FoxNews
370,-0.5719,Tue Jul 31 15:57:05 +0000 2018,0.657,0.343,0.0,71,FoxNews
371,0.0,Tue Jul 31 15:44:26 +0000 2018,1.0,0.0,0.0,72,FoxNews
372,0.0,Tue Jul 31 15:41:54 +0000 2018,1.0,0.0,0.0,73,FoxNews
373,-0.4767,Tue Jul 31 15:36:46 +0000 2018,0.819,0.181,0.0,74,FoxNews
374,-0.4767,Tue Jul 31 15:31:33 +0000 2018,0.69,0.228,0.083,75,FoxNews
375,0.0,Tue Jul 31 15:29:03 +0000 2018,1.0,0.0,0.0,76,FoxNews
376,0.0,Tue Jul 31 15:25:00 +0000 2018,1.0,0.0,0.0,77,FoxNews
377,-0.5994,Tue Jul 31 15:14:18 +0000 2018,0.698,0.219,0.084,78,FoxNews
378,-0.1027,Tue Jul 31 15:13:51 +0000 2018,0.887,0.113,0.0,79,FoxNews
379,-0.3818,Tue Jul 31 15:11:06 +0000 2018,0.833,0.167,0.0,80,FoxNews
380,0.0,Tue Jul 31 15:05:20 +0000 2018,1.0,0.0,0.0,81,FoxNews
381,0.743,Tue Jul 31 15:04:00 +0000 2018,0.656,0.0,0.344,82,FoxNews
382,0.0,Tue Jul 31 14:50:00 +0000 2018,1.0,0.0,0.0,83,FoxNews
383,0.0,Tue Jul 31 14:40:42 +0000 2018,1.0,0.0,0.0,84,FoxNews
384,0.4215,Tue Jul 31 14:27:35 +0000 2018,0.811,0.0,0.189,85,FoxNews
385,0.0,Tue Jul 31 14:23:40 +0000 2018,1.0,0.0,0.0,86,FoxNews
386,0.5106,Tue Jul 31 14:21:57 +0000 2018,0.837,0.0,0.163,87,FoxNews
387,0.431,Tue Jul 31 14:20:33 +0000 2018,0.849,0.0,0.151,88,FoxNews
388,0.0,Tue Jul 31 14:13:50 +0000 2018,1.0,0.0,0.0,89,FoxNews
389,0.6249,Tue Jul 31 14:12:32 +0000 2018,0.779,0.0,0.221,90,FoxNews
390,0.0,Tue Jul 31 14:05:04 +0000 2018,1.0,0.0,0.0,91,FoxNews
391,-0.4215,Tue Jul 31 14:04:31 +0000 2018,0.859,0.141,0.0,92,FoxNews
392,-0.7759,Tue Jul 31 14:03:47 +0000 2018,0.727,0.273,0.0,93,FoxNews
